Date,Open,High,Low,Close,Adj Close,Volume
2019-12-04,26071.390625,26191.789063,25995.150391,26062.560547,26062.560547,1502327900
2019-12-05,26300.509766,26300.509766,26134.060547,26217.039063,26217.039063,1228026600
2019-12-06,26345.199219,26520.080078,26309.339844,26498.369141,26498.369141,1644211100
2019-12-09,26513.970703,26618.250000,26432.269531,26494.730469,26494.730469,1301819900
2019-12-10,26378.990234,26527.089844,26355.529297,26436.619141,26436.619141,956293300
2019-12-11,26410.089844,26659.980469,26364.429688,26645.429688,26645.429688,1409589200
2019-12-12,26837.939453,27048.980469,26837.939453,26994.140625,26994.140625,1451721900
2019-12-13,27494.509766,27687.759766,27405.259766,27687.759766,27687.759766,2212195500
2019-12-16,27530.500000,27715.929688,27473.320313,27508.089844,27508.089844,1421412600
2019-12-17,27630.689453,27894.720703,27563.439453,27843.710938,27843.710938,1926224500
2019-12-18,27884.210938,27884.210938,27884.210938,27884.210938,27884.210938,0
2019-12-19,27908.779297,27908.779297,27675.240234,27800.490234,27800.490234,1296810200
2019-12-20,27834.550781,27959.519531,27740.660156,27871.349609,27871.349609,1680024400
2019-12-23,28024.619141,28024.619141,27830.080078,27906.410156,27906.410156,1216834000
2019-12-24,27901.509766,27921.289063,27792.660156,27864.210938,27864.210938,483984100
2019-12-27,28033.660156,28226.109375,28000.619141,28225.419922,28225.419922,1375016100
2019-12-30,28250.480469,28418.650391,28165.130859,28319.390625,28319.390625,1420447400
2019-12-31,28241.429688,28298.460938,28123.859375,28189.750000,28189.750000,873713900
2020-01-02,28249.369141,28543.519531,28245.970703,28543.519531,28543.519531,1262732800
2020-01-03,28828.359375,28883.300781,28428.169922,28451.500000,28451.500000,1797904800
2020-01-06,28326.500000,28367.869141,28054.289063,28226.189453,28226.189453,1793426600
2020-01-07,28352.679688,28473.080078,28264.070313,28322.060547,28322.060547,1302687200
2020-01-08,27999.580078,28198.609375,27857.730469,28087.919922,28087.919922,1709241600
2020-01-09,28367.650391,28561.000000,28325.859375,28561.000000,28561.000000,1692786200
2020-01-10,28665.140625,28665.140625,28504.269531,28638.199219,28638.199219,1448401000
2020-01-13,28772.369141,28971.400391,28671.839844,28954.939453,28954.939453,1765055700
2020-01-14,29149.529297,29149.529297,28790.490234,28885.140625,28885.140625,1643504700
2020-01-15,28891.070313,28972.679688,28619.099609,28773.589844,28773.589844,1240120700
2020-01-16,28806.119141,28987.730469,28709.570313,28883.039063,28883.039063,1620926200
2020-01-17,28988.160156,29101.150391,28813.130859,29056.419922,29056.419922,1545082800
2020-01-20,29169.119141,29174.919922,28795.419922,28795.910156,28795.910156,1633383900
2020-01-21,28449.380859,28492.029297,27980.500000,27985.330078,27985.330078,2236521700
2020-01-22,28116.500000,28393.929688,27937.679688,28341.039063,28341.039063,1343288100
2020-01-23,28109.750000,28133.029297,27706.369141,27909.119141,27909.119141,1753263000
2020-01-24,27935.419922,27977.630859,27774.500000,27949.640625,27949.640625,612128700
2020-01-29,27101.539063,27333.300781,27101.539063,27160.630859,27160.630859,2203836100
2020-01-30,27030.609375,27134.550781,26330.050781,26449.130859,26449.130859,2223567800
2020-01-31,26757.609375,26818.839844,26295.490234,26312.630859,26312.630859,1874255200
